Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
337c5c3c-f4e6-4cc3-b2e2-0f2eaf014776,"2020-07-03, 11:51:25 AM",CloudTrail,ListTags,,,,eu-central-1,,46.114.3.208
e0f57dd6-4c37-4e13-914d-6bb2af388018,"2020-07-03, 11:51:08 AM",CloudTrail,GetTrailStatus,,,,eu-central-1,,46.114.3.208
498d7a8e-cc6d-44ff-921e-0210020f083d,"2020-07-03, 11:51:07 AM",CloudTrail,DescribeTrails,,,,eu-central-1,,46.114.3.208
677128ee-8a7f-4f81-833b-c2836ab619e4,"2020-07-03, 11:51:07 AM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trial""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-central-1:531788746776:trail/Udacity_Trial""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""uda-cloudtriallog""}]",,eu-central-1,,46.114.3.208
7a9e40d5-52a4-4c8d-a9d3-e98a3220ce21,"2020-07-03, 11:51:07 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""uda-cloudtriallog""}]",,eu-central-1,,46.114.3.208
7aba8260-2c6e-4cdf-a39b-faaffd772053,"2020-07-03, 11:51:07 AM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trial""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-central-1:531788746776:trail/Udacity_Trial""}]",,eu-central-1,,46.114.3.208
874429bc-98d6-464d-8b07-6b31ff24fe26,"2020-07-03, 11:51:07 AM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trial""}]",,eu-central-1,,46.114.3.208
88e3325c-7702-47ee-a358-e549baf58220,"2020-07-03, 11:51:07 AM",CloudTrail,GetTrailStatus,,,,eu-central-1,,46.114.3.208
bccbbe80-3bc7-41c7-b62f-dbf239d11119,"2020-07-03, 11:51:07 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""uda-cloudtriallog""}]",,eu-central-1,,46.114.3.208
25575b3d-620a-4ea7-8e03-ac38c6f567f5,"2020-07-03, 11:47:30 AM",CloudTrail,ListFunctions20150331,,,,eu-central-1,,46.114.3.208
